word,Sanskrit,Hindi,Odiya
और्व,उर्वस्य ऋषेरपत्यं और्वः । बडवाग्निः । उर्वतीत्यौर्वः उर्वी तुर्वी धुर्वी  दुर्वी  हिंसायां ।,उर्व का अपत्थ और्व ।,उर्वर अपत्य   और । वडवाग्नि ।
ज्वाल,ज्वालतीति ज्वालः । भाग्निज्वाला । ज्वलतीति ज्वालः ।,प्रकाशित होने से जलने से अग्नि ज्वाला ।,"प्रकाशित हेवा कारणरु, जलिबारू   अग्निज्वाला ।"
कील,कीलति पक्ष्यादिगतिं निरुणद्धीति कीलः । अग्निज्वाला ।,कीलति पक्ष्यादि गति को वन्धन करने से रूकने से कील ।,कीलति पक्ष्यादि गतिकु रोकिबा  वन्धन  करिबा कारणरु   कील । अग्नि ज्वाला ।
हेति,हिनोति इतस्ततो गच्छति वर्धते वा हेतिः । अग्निज्वाला । हन्यते अनयेति,इन्यते  पीडा देनेसे हेति । अग्नि ज्वाला ।,"इन्यते, पीडा देबा कारणरु   हेति । अग्निज्वाला ।"
हेति,हेतिः । हनोति हन्ति इति हेतिः ।,हिनोति इतस्तत गति करने से  वढने से हेति ।,"हिनोति इतस्तत गति करिबा, वढिबा कारणरु   हेति । अग्निज्वाला ।"
शिखा,शाखते व्याप्नोतीति शिखा । शाखृव्याप्तौ । अग्निज्वाला । शाखति वह्नौ इति शिका ।,शाखते व्यापने से शिखा ।  अग्निज्,शाखते   व्यापिबा कारणरू   शिखा । अग्निज्वाला ।
स्फुलिङ्ग,स्फुना फूत्कोत्या लिङ्गति ।,आग की चिंगारी  फूत्कर फैल कर जाने से  स्फुलिङ्ग अग्निकण ।,अग्नि कणा फूकिंला परि थिबा कारणरू स्फूलिङ्ग । अग्निकण ।
अग्निकण,अग्नेः कणः अग्निकणः ।,आग की कण  अग्निकण ।,अग्निर कण   अग्निकण ।
सन्ताप,सम्यक् तापयतीति सन्तापः । तपसन्तापे ।,उत्तमताप देने से सन्ताप । ताप ।,उत्तम ताप देबा कारणरु   सन्ताप । ताप ।
संज्वर,सम्यक् ज्वरयतीति संज्वरः । सन्तापः ।,उत्तम तापों ज्वरकराने से  से संज्वर । सन्ताप ।,उत्तम तापरु  ज्वरकारइबा    संज्वर । सन्ताप ।
उल्का,अज्वाला साग्निरुल्का । सन्तापः ।,अग्नि से निकाली ज्वाला अल्का । अज्वाला । सन्ताप ।,अग्निरू सृष्टि एक ज्वाला उल्का   अज्वाला । सन्ताप ।
पितृपति,पितृणां कव्यवाह्नादीनाम् पतिः पितृपतिः । यमः ।,पितृओं का पति यम ।,पितृकंर पति   यम ।
समवर्तिन्,समम् वर्तितुम् शीलमस्येति समवर्ती । यमः ।,सव केलिए समान होने से समवर्तिन् ।  यम,समस्तंक पाइँ समान हेवा कारणरु समवर्तिन् । यम ।
परेतराज्,परेताः मृताः तेषां राट् परेतराट् । यमः । परेतेषु राजते इति परेतराट् ।,परेता  मृतों का राजा परेतराज । यम ।,"परेता, मृत मानकंर राज   परेतराज ।  यम"
कृतान्त,कृतः अन्तो विनाशो येन सः कृतान्तः । यमः ।,कृत अन्त जिस से  विनाश जिस से किया गया है कृतान्त । यम ।,याहा द्वारा विनाश  अन्त  करायाइछि   कृतान्त । यम ।
यमुनाभ्रातृ,यमुना नद्याः भ्राता यमुनाभ्राता । यमः ।,यमुना की नदी  भ्राता यमुनाभ्राता । यम ।,यमुनार  नदी  भ्राता   यमुना भ्राता ।  यम
शमन,शमयति प्राणिन इति शमनः । यमः ।,शमयति  प्राणिओं को उपशम देने से शमन । यम ।,"शमयति, प्रणिमानंकु उपशम देवा कारणरु   शमन ।  यम"
यमराज,यमनात् यमाः प्रजा संयमोद्यमाः मृत्युप्रभृतयोस्य किंकराः  तेषु राजत इति,यमन से यमा प्रजा संयमोद्यमा मृत्युप्रभृतीयाँ इसका किंकरा । यम उपरम । उस में,यमनरु यमा प्रजा संयमोद्यमा मृत्युप्रभृती तांकर किंकरा । यम उपरम । सेठारे
यमराज,यमराट् यमः । यमेन राजते यमराट् यमेन संयमेन राजते ।,राजुत्वि करने से यमराज । यम ।,राजुत्वि करिवारु   यमराज । यम ।
यम,यच्छतीति यमः ।,नियम करने वाला से यम ।,नियम करिबा बाला   यम
यम,यमयतीति यमः । यमुनया सह यमलत्वेन जातत्वाद्यमः । यमः । यमयति नियतिं,यमुना की साथ यमलरूपसे जात होने से यम ।,यमुना सह याँला रुपे जात हेबा कारणरु । यम ।
काल,कलयति धर्माधर्माणामायुषो वा संख्यानं करोतीति कालः । यमः ।,धर्माधर्मों का आयुष को गिनती करने से  कलना करने से काल । यम ।,धर्माधर्मर आयुषकु कलना करिवा गणिवा कारणरु   काल । यम ।
काल,कलति प्रेरयति वा इति कालः ।, कल्यते  गणन करने से काल अथवा  कलयति प्रेरण करने से काल ।, कल्यते  गणन करने से काल अथवा  कलयति प्रेरण करने से काल ।
दण्डधर,कालदण्डाख्यस्य दण्डस्य धरः दण्डधरः । यमः । दण्डं धरति धारयतीति दण्डधरः ।,कालदण्डारव्य का  दण्ड का घर दण्डधर या दण्ड को धारण करने से दण्डधर यम ।,कालदण्डारव्यार दण्डर धर   दन्डधर अथवा दण्डकु धारण करिबा कारणरु   दण्डधर   यम ।
श्राद्धदेव,श्राद्धस्यदेवः श्राद्धदेवः । यमः ।,श्राद्ध का देव श्राद्धदेव यम ।,श्राद्धर देव   श्राद्धदेव   यम ।
वैवस्वत,विवस्वतः सूर्यस्य अपत्यं वैवस्वतः । यमः ।,विवस्वत  सूर्य  का अपत्य वैवस्वत । यम ।,विवस्वत  सूर्य  ङ्कर अपत्य   वैवस्वत । यम ।
अन्तक,अन्तं नाशं करोतीति अन्तकः । यमः ।,अन्त नाश विनाश करने से अन्तक यम ।,अन्त नाश विनाश करिवा कारणरु   अन्तक   यम ।
राक्षस,रक्षएव राक्षसः रक्षति अस्मादिति राक्षसः ।,रक्ष राक्षस है ।,रक्ष हिं राक्षस ।
कौणप,कुणपः शवः तद्भक्षणात् कौणपः । राक्षसः । कुशपं शवं भक्षयितुं शीलमस्य इति,कुणप शव खाने से कौणप ।,कुणप शव खाइबा कारणरु   कौणप ।  राक्षस
क्रव्याद्,क्रव्यं मांसमत्तीति क्रव्यात् । राक्षसः ।,क्रव्य मांस को खाने से क्रव्याद्‌ राक्षस ।,क्रव्य मांसकु भक्षण करिवा कारणरु   राक्षस ।
क्रव्याद,कृतं पक्वं च भुङ्क्ते इति क्रव्यादः ।,क्रव्य मांसको खाने से क्रव्याद राक्षस ।,क्रव्य मांसकु भक्षण करिबा कारणरु   क्रव्याद   राक्षस ।
अस्रप,अस्रं रक्तं पिबन्तीति अस्रपः ।,अस्र पाक न करके खाने से अस्रप राक्षस ।,अस्र पाक न करि भक्षण करिबा कारणरु   अस्र राक्षस ।
आशर,अशृणोति हिनस्तीत्याशरः । राक्षसः । आश्रृणातीति आशरः ।,हिंसा करने से आशर राक्षस ।,हिंसा करिबा कारणरु   आशर   राक्षस ।
रात्रिंचर,रात्रौ चरतीति रात्रिंचरः राक्षसः ।,रात्रि रात  में धुमने से भक्षण करने से राक्षस ।,रात्र कालरे भ्रमणभक्षणादि करिबा   रात्रिचर राक्षस ।
रात्रिचर,रात्रौ चरतीति रात्रिचरः राक्षसः ।,रात्रि रात में धुमने से भक्षणादि करने से राक्षस ।,रत्र कालरे भ्रमणभक्षणादि करिबा कारणरु   राक्षस ।
कर्बुर,कर्बुरवर्णत्वात् कर्बुरः । राक्षसः । कृणाति हिनस्तीति कर्बुरः ।,कर्बर रंविरंगा  चितकबरा  कबुतर के रंग का होने से कर्बर राक्षस ।,"कर्बुर रंगविरंगा, चितकबरा, कबुतर रंगर हेबा कारणरु   कर्बुर   राक्षस ।"
निकषात्मज,निकषति हिनस्तीति निकषा   राक्षसमाता   तस्याः अत्मजः निकषात्मजः । राक्षसः ।,हिंसा करने से निकषा  निकाषा का आत्मज निकषात्मज राक्षस ।,"हिंसा करिबा कराणरू निकषा, निकषार आत्मज निकषात्मज   राक्षस ।"
यातुधान,धीयन्त अस्मिन्निति यातुधानः । यातुना ध्रियते अत्रेति वा । यातूनि रक्षांसि दधाति,यातु नाम में यातुधान राक्षस ।,यातु नामक राक्षस   यातुधान   राक्षस ।
यातुधान,पुष्णाति   स्वजातिपोषकत्वात् ।,राक्षशों को धारण करने से पोषण करने से यातुधान राक्षस ।,राक्षस मानंकु धारणपोषण करिबा कारणरू यातुधान   राक्षस ।
पुण्यजन,विरुद्धलक्षणया पुण्यवान् जनः पुण्यजनः । राक्षसः ।,विरूद्ध लक्षण द्वारा पुण्यवान् जन पुण्यजन राक्षस ।,विरूद्ध लक्षणद्वार पुण्यवान् पुण्यवान् जन पुण्य जन राक्षस ।
यातु,यातयति व्यथयतीति यातु । राक्षसः । याति रक्षांसि यातु ।,यातना देने से   यातु राक्षस ।,यातना देबा कारणरु   यातु   राक्षस ।
प्रचेतस्,प्रकृष्टं चेतः यस्य सः प्रचेताः । वरुणः । प्रचेतयतीति प्रचेतस् ।,प्रकुष्ट चेत वाला प्रेचेतस् वरूण ।,प्रकृष्ट चेत बाल   प्रचेतस्   वरुण ।
वरुण,वृणोति वरानमुं लोकइति वरुणः । वृणोति अरीन्‌ पाशैरिति वा वरुणः । व्रियते,लोग वरूणसे वर को चाहने से मांगने से वरूण ।,लोक वरूणठारु वर कु मागिबा कारणरु   वरूण ।
वरुण,वृणोति वा ।,शत्रु को पाशद्वारा वन्धन करने से वरूण ।,शत्रुकु पाशद्वारा वन्धन करिबा कारणरु   वरूण ।
पाशिन्,पाशोस्यास्तीति पाशी । वरुणः ।,पाश रहने से पाशि । वरूण ।,पाश रहिबा कारणरु   पाशि । वरुण ।
अप्पति,अपां पतिः अप्पतिः । वरुणः ।,अप  जल का पति अप्पति । वरूण ।,"अप, जलर पति   अप्पति । वरुम ।"
श्वसन,श्वसन्त्यनेन प्राणिन इति श्वसनः । बाह्यवायु । श्वसित्यनेन श्वसनः ।,इसके द्वारा साँस लिये जाने से श्वसन । वायु ।,एहाद्वारा श्वास कार्य हेउथिबारु   श्वसन । वायु ।
स्पर्शन,स्पृशतीति स्पर्शनः । बाह्यवायु ।,स्पर्श करने  स्पर्शन । वायु ।,स्पर्श करिवा कारणरु   स्पर्शन । वायु ।
वायु,वातीति वायुः । बाह्यवायु ।,वाति  हवा वायु  हवा का चलना आप से आप वहना  चलना वायु ।,वाति   वायु स्वयं वहिबा कारणरु   वायु ।
मातरिश्वन्,मातरि आकाशे श्वयति वर्धत इति मातरिश्वा । बाह्यवायु । मादतरि अन्तरिक्षे,मातरि  आसमान में वृद्धि होने मातरिश्वन् वायु ।,"मातरि, आकाशरे वृद्धि हेबा कारणरु   मातारिश्वन् वायु ।"
सदागति,सदागतिः गमनं यस्य सः सदागतिः । बाह्यवायु ।,सव समय गमन गति करने से सदागति ।  वायु,"सदा गति, गमन याहार   सदागति । वायु ।"
पृषदश्व,अस्येति वा । पृषतां अश्वः पृषतां बिन्दूनां अश्व इति वा । पृषतां अम्बुकणानां अश्व,जलविन्दुओं अश्व जैसा वाहन जिसका पृषदश्व वायु ।,जलविन्दु   अश्व परि वाहन याहार पृषदश्व   वायु ।
पृषदश्व,इवेति वा ।,पृशत् मृगविशेष अश्व वाहन जिसका पृषदश्व । वायु ।,"पृशत्, मृगविशेष अश्ववाहन याहार पृषदश्व   वायु ।"
गन्धवह,गन्धस्य वहो गन्धवहः । बाह्यवायु ।,गन्ध वास्य को ग्रहण करने से गन्धवह । वायु ।,"गन्ध, वासकु ग्रहण करिबा कारणरु   गन्धवह । वायु"
गन्धवाह,गन्धं वहतीति गन्धवाहः । बाह्यवायु ।,गन्ध को वहन करने वाला गन्धवह । वायु ।,गन्धकु वहन करिबा बाला   गन्धवह ।  वायु
आशुग,आशुगच्छतीति आशुगः । बाह्यवायुः ।,आशु शीघ्र जाने से आशुग । वायु ।,आशु   शीघ्र यिबा कारणरु   अशुग ।  वायु
समीर,गच्छति  ईरयति प्रेरयति वा समीरः ।,सम्यक गमन करने से  जाने से समीर । वायु ।,सम्यक गमन करिबा कारणरु । समीर । वायु ।
मारुत,मरुदेवमारुतः । बाह्यवायु ।,इस के विना मरने से मारूत । वायु ।,एहा विना मृत्यु हेबा कारणरु   मारुत । वायु ।
मरुत्,कुपितेन अनेन म्रियते लोक इति मरुत् । बाह्यवायु । म्रियन्ते अनेन वृद्धेन विना वा ।,इस के विना मरने से मरूत् ।  वायु,एहा विना मृत्यु हेवा कारणरु   मरुत् ।  वायु
जगत्प्राण,जगतांप्राणः जगत्प्राणः । बाह्यवायुः ।,जगत का प्राण जगत्प्राण वायु । गमन करने से जगत ।,गमन करिबा कारणरु   जगत ।
समीरण,सम्यक्‌ ईरितुं गन्तुं शीलमस्य समीरणः । सम्यक् ईरयति इति समीरणः ।,सम्यक गमन करने से समीरण ।  वायु,सम्यक गमन करिबा कारणरु   समीरण ।  वायु
नभस्वत्,नभः कारणत्वात् नभोस्यास्तीति नभस्वान्‌ । बाह्यवायु ।,नभ जिसका आश्रय रूप में है नभस्वत् ।  वायु,नभ याहार आश्रय से   नभस्वत् ।  वायु
वात,वातीति वातः । बाह्यवायु ।,वाति हवा का चलना  आप से आप चलना वहना वात वायु ।,"वाति, वायु. स्वयं वहिबा कारणरु   वात ।  वायु"
पवन,पुनातीतिपवनः पवनः । पवतीति पवनः बाह्यवायुः । पवत इति पवन  ।,पुनाति गमन करने से पवन वायु ।,"पुनाति, गमन करिवा कारणरु   पवन   वायु ।"
पवमान,पुनातीति पवमानः । पूञ्पवने । पवतीति पवमानः । बाह्यवायु ।,पव गति पव रहने से पवमान ।  वायु,None
प्रभञ्जन,इति प्रभञ्जनः ।,प्रभञ्जति तोडना पेड का शाखाओंकु तोडने से प्रभञ्जन ।  वायु,"प्रभञ्जति   भाङ्गिबा, गच्छर डालकु भाङ्गिबा कारणरु   प्रभञ्जन । वायु"
प्राण,प्रकर्षेण अनन्त्यनेनेति प्राणः । देहस्थपञ्चवायुः । प्रकर्षेण बहिरानयतीति,प्रकर्ष रूप में श्वासदि इससे चलने से प्राण ।  शरीसस्थ वायु,प्रकर्ष रुपे श्वासादि एहा द्वारा निआयिवा कारणरु प्राण ।  शरीरस्थ वायु
अपान,अधोविण्मूत्रादि त्याजनादनन्त्यनेनेत्यपानः । अपानः ष देहस्थपञ्चवायुः, अनति चलाना अपानयति मुत्रादिको से जो नीचे की ओर जाता है तथा शुदा के, यिए निश्वास माध्यमरे नीच आडकु याइ गुदा मार्ग देइ बाहरकु बाहारे
अपान,अपानयति इति अपानः ।,नीचे को मुत्रादि का चालक से अपान । देहस्थ वायु ।,"अपानयति, मुत्रादिकु त्याग कराइबारु   अपान । देहस्थ पञ्चबायु ।"
समान,सम्यक् अनन्त्यनेन समानः । देहस्थपञ्चवायुः । सर्वत्र असृगादिनयतीति वा समानः ।,नाभि का गर्त है  तथा पाचन शक्ति के लिए परमाश्यक है ।,"सम्यक चलाइबा कारणरु   समान । देहस्थ पंचवायु ।  पांच प्राण मध्यरे एक, एहार"
समान,सर्वत्र आनयतीति समानः । समानयतीति समानः ।,सम्यक चलाने वाला से समान । देहस्थ पँचवायु ।  पाँच प्राणों में से एक  इसका श्थान,"स्थान नाभिर गर्त अटे, तथा पाचन शक्ति पाइँ परमावश्वक"
उदान,उत् ऊर्ध्वमानयति शब्ददीनिति वा उदानः ।,उपर की ओर शब्दादि को चलाने से उदान ।  उत् ऊर्ध्व को लाने से भाषणादि सामर्थ्य,"उपर आडकु शब्ददिकु चलाईबारु  उदान ।  उत् ऊध्वकु चलाइवारु, भाषणादि जननरु"
उदान,भाषणादि सामर्थ्यजनात् ऊर्ध्वमनन्ति अनेनेत्युदानः । उत् ऊर्ध्वमानयति शब्दादीनिति वा उदानः । देहस्थपञ्चवायुः ।,जनन से देहस्थ पँच वायु,देहस्थ पँचवायु
व्यान,विशेषमनन्ति अनेनेति व्यानः । देहस्थपञ्चवायुः । विनयतीति व्यानः ।, शरीरस्थ पाँच प्राणों में से एक जो समस्त शरीर में व्याप्त है, शरीरस्थ पाँच प्राणरु एक यिए समस्त शरीर रे व्याप्त अटे
व्यान,व्यानयतीति वा ।,विशेश रूप में चलाने से व्यान । देहस्थ पँच वायु ।  सर्वशरीरं व्याप्नोति,विशेष रुपरे चलाइबा कारणरु   व्यान । देहस्थ पँच वायु ।  सर्वशरीरं व्याप्नोति
रंहस्,रंहत्यनेन रंहः । गतिवेगः । रमते।़नेन इति रंहस् । रंहति सततं रंहः ।,इसके द्वारा गति करने से रंहस् ।  गतिवेग,एहाद्वारा गति करिबा कारणरु   रंहस् ।  गतिवेग
तरस्,तरत्यनेन तरः । गतिवेगः ।,इसके द्वारा तैरने से तरस ।  गतिवेग,एहाद्वारा तरिबा कारणरु   तरस ।  गतिवेग
स्यद,स्यन्दते अनेनेति स्यदः । गतिवेगः ।,इस के द्वारा प्रस्रवित होने से स्यद गतिवेग ।  स्यन्द प्रस्रवणे,एहा द्वारा प्रस्रवित हेवा कारणरु   स्यद गतिवेग। स्यन्दू   प्रस्रवणे ।
जव,जवत्यनेनेति जव   वायुधर्मत्वात् तदनन्तरनिरूपणं । गतिवेगः ।,जवति इस के द्वारा गति करने से जव । गतिवेग जुगतौ,"जवति, एहा द्वारा गति करिबा कारणरु   जव । गत्वेग  जुरतौ"
शीघ्र,शिः शयनं जिघति हरतीति शीघ्रं शिङ्घति व्याप्नोतीति शीघ्र ।,शयन को हरण करने से शीघ्र ।,शयनकु हरण करिबा कारणरु   शिघ्र ।
त्वरित,त्वरन्त्यनेनेति त्वरितं । शीघ्रं ।,शीघ्रगामी  फूर्तीला होने से त्वरित ।  शीघ्र,शीघ्रगामी हेबा कारणरु   त्वरित । शीघ्र ।
लघु,लङ्घ्यते अनेनेति लघु । शीघ्रं ।,लङ्ध्यते  तिरस्कारी हने से लघु । शीघ्र । शीघ्र ।  तुच्छ  अत्प न्युन गत्यक्षेपे,"लङ्ध्यते, तिरस्कारी हेबा कारणरु   लघु ।  शीघ्र"
क्षिप्र,क्षिप्यन्ते अनेनेति क्षिप्रं । शीघ्रं ।,इसके द्वारा क्षिप्र गति में जाने से क्षिप्र ।  शीघ्र,एहाद्वारा क्षिप्र गतिरे थिबारु   क्षिप्र ।  शीघ्र
अर,इयर्त्यनेनेत्यरं । शीघ्रं । ऋच्छति इयर्ति वा ।,इसके द्वरा रति करने से  अर । शीघ्र । शीघ्र । ऋ गतौ,एहा द्वारा गति करिबा कारणरु   अर । शीघ्र  ऋ गतौ
द्रुत,द्रवन्त्यनेनेति द्रुतं । शीघ्रं ।,इसके द्वारा गति करने से द्रुत ।  शीघ्र,एहाद्वारा गति करिबा कारणरु   द्रुत । शीघ्र ।
सत्वर,त्वरया सह वर्तत इति सत्वरम् । शीघ्रं ।,त्वर  शीघ्र के साथ रहने से सत्वर ।  शीघ्र,"त्वर, शीघ्र सहित रहिवारु   सत्वर ।  शूघ्र"
चपल,चोपत्थनेनेति चपलं । शीघ्रं ।,इस के द्वरा चपल गति में जाने से चपल । शीघ्र  चुप मन्दायाँ गतै,एहा द्वारा चपल गतिरे यिवा कारणरु   चपल ।  शीघ्र
तूर्ण,त्वरत्यनेनेति तूर्णं । तुरतेनेनेति तूर्ण ।,तुर त्वरणे,शीघ्रगामी हेबा कारणरु   तूर्ण ।  शीघ्र
आशु,अश्नुते अनेनेत्याशु । शीघ्रं ।,जल्दी से चलना आशु ।  शीघ्र,जल्दी यिबा   अशु । शीघ्र
सतत,संतन्यते अनेनेति सततं । सततक्रिया ।,सदा रहने वाला से सतत । नित्य ।  अविच्छिन्न रूप से   शास्वत,"सदासर्वदा रहिबा बाला, अविच्छिन्न रुपरे, शास्वत भावरे   सतत ।  नित्य"
अनारत,न विद्यते आरतम् विरामो यस्मिन्‌ तदनारतं । सततक्रिया ।,अनवरत  निरन्तर अबाध लगातर नित्यरूप में रहने से अनारत ।  नित्या,"अनवरत, निरन्तर, अवाध नित्यरूपरे रहिबा कारणरु   अनारत ।  नित्य"
अश्रान्त,न विद्यते श्रान्तिः यस्मिन् तदश्रान्तम् । सततक्रिया ।,न थका हुआ से अश्रान्त ।  नित्या,न थकिबा कारणु   अश्रान्त ।  नित्य
अनिश,नास्ति निशा विच्छेदकालः यस्मिन् तदनिशम् । सततक्रिया ।,नहीं निशा विच्छेद जिस में अनिश । नित्य,नाहिं निशा विच्छेद येउँथिरे   अनिश ।  नित्य
नित्य,नियतं भवतीति नित्यम् । सततक्रिया । नियमेन भवनम् ।,नियत अविरत होने से नित्य ।,"नियत, अविरत हेबा कारणरु   नित्य ।"
अनवरत,न विद्यते अवरतं विरामो यस्मिन् तदनवरतं । सततक्रिया । नास्ति अवरतं यस्य ।,विराम नहीं जिस में अनवरत । नित्य ।  निरन्तर  अविरत,"विराम नाहिं येउँथिरे   अनवरत । नित्य  निरन्तर, अविरत"
अजस्र,न जस्यते विच्छिद्यत इत्यजस्रं । सततक्रिया ।,अविछिन्न  लगातर रहने वाला अजस्र ।  नित्य,"अविछिन्न, लगातर रहिबा बाला   अजस्र ।"
अतिशय,अतिशेते अनेनेति अतिशयः ।,अति अधिक शोने से अतिशय ।  शीङ् क्वप्ने,"अति, अधिक शोइबा कारणरु   अतिशय ।  शीङ् स्वप्ने"
भर,बिभर्तीति भरः । अतिशयः ।,भरण करने से भर ।  अतिशय,भरण करिबा कारणरु   भर ।  अतिशय
अतिवेल,वेला मर्यादा तामतिक्रान्तम् अतिवेलं । अतिशयः ।,अतिक्रान्तो  अत्यधिक फालत् शीमारहित से या अत्यधिकता से अतिवेल ।  अतिशय,"अतिक्रान्तो, अत्यधिकतारु अथबा सीमारहितरु अतिवेल ।  अतिशय"
भृश,बिभर्तीति भृशं । अतिशयः ।,रणे भृश ।  अतिशय,"विभर्ती, भृश्यति, भृशते, अत्यधिक शक्तिशाली हेबा कारणरु, प्रचण्डतार सह   भृञ् रणे   भृश । अतिशय"
अत्यर्थ,अर्थं विषयम् अतिक्रान्तम् अत्यर्थं । अतिशयः । अर्थो निवृत्तिर्विषयो,अत्यधिक विषय कारण से अत्यर्थ ।  अतिशय,अत्यधिकविषय कारणरु   अत्यर्थ ।  अतिशय
अतिमात्र,मात्रं स्तोकम् अतिक्रान्तम् अतिमात्रं । अतिशयः ।, जिसका विल्कुल समर्थन न किया जा सके,"अतिक्रान्तो मात्राम्, मात्रा ठारू अधिक हेबा कारणरू अत्यधिक, अतिशय   अतिमात्र ।"
उद्गाढ,उद्गाहते प्रादुर्भवतीति उद्गाढं । अतिशयः ।,अत्यधिक विलोडन से गाङ् विलोडने प्रादुर्भावे उद्गाढ ।  अतिशय,अत्यधिक विलोडन कारणरु गाहू   विलोडने   प्रदुर्भावे   उद्गाढ ।  अतिशय
निर्भर,निश्शेषो भरो यस्मिन्‌ तत्‌ निर्भरं । अतिशयः ।,विशेषरूप में भरण करने से निर्भर । अतिशय । भरण पूरण धारण,विशेषरुपे भरण करिबा कारणरु   निर्भर । अतिशय ।  भरम  पूरण   धारण
तीव्र,तीवतीति तीव्रं । अतिशयः ।,कठोरता से तीव्र ।  अतिशय,कठोरतारू   तीव्र ।  अतिशय
एकान्त,एकः अन्तः निश्चयो यत्र तदेकान्तं । अतिशयः ।,विल्कुल न रहने से एकान्त ।  अतिशय,विल्कुल न रहिबा कारणरु   शून्यता   एकान्त ।  अतिशय
नितान्त,नितरां ताम्यतीति नितान्तम् । अतिशयः ।,नितरा ताम्यतीति असाधारण अत्यधिक से नितान्त ।  अतिशय,"नितरां ताम्यति   असाधारणरु, अत्यधिकरु नितान्त ।  अतिशय"
गाढ,गाहते गाढं । अतिशयः ।,अत्यधिक विलोडन से गाढ ।  अतिशय,अत्यधिक विलोडन कारणरु   गाढ ।  अतिशय
बाढ,बाह्यते इति बाढं । अतिशयः ।,अत्यधिक प्रयत्न से बाढ ।  अतिशय,अत्यधिक प्रयत्न कारणरु   बाढ ।  अतिशय
दृढ,दृहतीति दृढं ।,अत्यधिक मजबूत होने दृढ । अतिशय । दृह वृद्दौ,अत्यधिक मजबूल कारणरू   दृढ ।  अतिशय
कुबेर,कुत्सितं बेरं शरीरं यस्य सः कुबेरः ।,कुत्सित विकृत शरीर जिसका कुवेर ।,"कुत्सित, विकृत शरीर याहार   कुवेर ।"
यक्षराज्,यक्षेषु राजते यक्षराट् । कुबेरः ।,यक्षों में राजुति करने से यक्षराज ।  कुवेर,यक्ष मानङ्क मध्यरे राजुति करिवारु । यक्षराज । कुवेर ।
गुह्यकेश्वर,गुह्यका निधिगोपकाः   तेषामीश्वरः गुह्यकेश्वरः । कुबेरः ।,गुझका निधिगोपका  उनका ईश्वर गुझकेश्वर कुवेर ।,"गुझका   निधिगोपका, तांकर ईश्वर   गुझकेश्वर ।"
मनुष्यधर्मन्,मनुष्याणां धर्म इव धर्मो आचारो यस्य सः   मनुष्यधर्मा । कुबेरः ।,मनुष्यों का धर्म जैसा धर्म आचार जिसका मनुष्य धर्मा ।  कुवेर,मनुष्यमानङ्कर धर्म परि धर्म आचार याहार   मनुष्यधर्मा ।  कुवेर
धनद,धनं ददातीति धनदः । कुबेरः । धनं दयते रक्षतीति वा धनदः ।,धन देने वाला होने से धनद या धन रक्षने वाला होने से धनद कुवेर ।,धन देबा कारणरु अथबा धनरक्षिवा कारणरु धनद ।  कुवेर
राजराज,राज्ञाम्  यक्षाणाम्  राजा राजराजः यक्षराजः । कुबेरः ।,राजओं का यक्षों का  राज राज राज यक्षराज । कुवेर ।,राजाङ्कर  यक्षङ्कर  राज राज राज यक्षराज ।  कुवेर
धनाधिप,धनस्य अधिपः धनाधिपः । कुबेरः ।,धनका अधिप धनाधिप ।  कुवेर,धनर अधिप   धनाधिप ।  कुवेर
किन्नरेश,किन्नराणामीशः किन्नरेशः । कुबेरः ।,किन्नरों का ईश किन्नरेश कुवेर ।  कुवेर,किन्नङ्कर ईश   किन्नरेश ।  कुवेर
वैश्रवण,विशेषेण शृणोतीति विश्रवाः तस्यापत्यं वैश्रवणः । कुबेरः ।,विशेष रूप से शुनने वाला विश्रवा उनका अपत्य या विश्रवा का पुत्रृ वैश्रवण कुवेर ।,विशेष रुपे शुणिबा कारणरु   विश्रवा विश्रवाङ्कर पुत्र   वैश्रवण   कुवेर ।
पौलस्त्य,पुलस्त्यस्य गोत्रापत्यं पौलस्त्यः । कुबेरः ।,पुलस्त्य का गोत्रापत्य पौलस्त्य । कुवेर ।,पुलस्त्यङ्कर गोत्रापत्य   पौलस्त्य   कुवेर ।
नरवाहन,नरो वाहनं यस्य सः नरवाहनः । कुबेरः ।,नर जिसका वाहन नरवाहन कुवेर ।,नर याहार वाहन   नरवाहन   कुवेर ।
एकपिङ्ग,इति एकपिङ्गः ।,एक आख गौरी शाप कारण से पिङ्गल वर्ण होने से एकपिङ्ग कुवेर ।,गोटे आखी गौरी शापकारणरू पिङ्गलवर्ण हेवारु एकपिङ्ग   कुवेर ।
